ID del caso,Fecha de transacción,Fecha de disputa,Monto de la transacción (USD),Tipo de tarjeta,Tipo de operación,Motivo del chargeback,Categoría del comercio,Estado de la disputa,País del cliente,Caso fallido,Tipología de fraude,Transaction_Amount,Merchant_Name,Chargeback_Status,Recuperación_CBKs,Devoluciones_Comercio,Fallido,ARN de la operación,Estado del informe,Fecha del informe,Fraude evitado (USD),País del Merchant
C-000012,2023-01-12,2023-04-07,594.58,Débito,Operación,Reembolso no procesado,Entretenimiento,Ganada,Reino Unido,No,Fraude de identidad,594.58 €,Comercio_1747,DEVOLUCIÓN COMERCIO,0.00 €,594.58 €,0.00 €,ARN00000012,Hecho,2023-01-12,433.24,Australia
C-000013,2023-01-13,2023-04-03,285.39,Crédito,Operación,Producto defectuoso,Hogar y jardín,Perdida,Estados Unidos,Sí,Robo de tarjeta,285.39 €,Comercio_1802,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,285.39 €,ARN00000013,Hecho,2023-01-13,751.83,Estados Unidos
C-000014,2023-01-14,2023-03-17,76.83,Crédito,Operación,Reembolso no procesado,Hogar y jardín,Ganada,Alemania,Sí,Robo de tarjeta,76.83 €,Comercio_128,DEVOLUCIÓN COMERCIO,0.00 €,76.83 €,0.00 €,ARN00000014,Pendiente,Pendiente,0.0,Australia
C-000015,2023-01-15,2023-03-17,815.41,Crédito,Operación,Producto no recibido,Salud y belleza,Ganada,Reino Unido,No,Phishing,815.41 €,Comercio_793,CBK GANADO,815.41 €,0.00 €,0.00 €,ARN00000015,Hecho,2023-01-15,173.75,Canadá
C-000016,2023-01-16,2023-04-03,359.7,Crédito,Operación,Fraude sospechado,Hogar y jardín,Ganada,Francia,Sí,Phishing,359.70 €,Comercio_921,PRE-ARBITRAJE GANADO,359.70 €,0.00 €,0.00 €,ARN00000016,Pendiente,Pendiente,0.0,India
C-000017,2023-01-17,2023-04-01,1.46,Débito,Cambio de divisa,Duplicación de cargos,Comida y bebidas,Ganada,Australia,No,Fraude amistoso,1.46 €,Comercio_1128,DEVOLUCIÓN COMERCIO,0.00 €,1.46 €,0.00 €,ARN00000017,Pendiente,Pendiente,0.0,India
C-000017,2023-01-17,2023-04-12,366.85,Débito,Operación,Duplicación de cargos,Comida y bebidas,Ganada,Australia,No,Fraude amistoso,366.85 €,Comercio_1128,DEVOLUCIÓN COMERCIO,0.00 €,366.85 €,0.00 €,ARN00000017,Pendiente,Pendiente,0.0,India
C-000018,2023-01-18,2023-03-27,840.5,Crédito,Operación,Producto defectuoso,Entretenimiento,Ganada,India,Sí,Fraude de identidad,840.50 €,Comercio_1527,DEVOLUCIÓN COMERCIO,0.00 €,840.50 €,0.00 €,ARN00000018,Hecho,2023-01-18,756.17,India
C-000019,2023-01-19,2023-03-25,0.82,Crédito,Cambio de divisa,Duplicación de cargos,Electrónica,Ganada,Reino Unido,Sí,Fraude amistoso,0.82 €,Comercio_839,PRE-ARBITRAJE GANADO,0.82 €,0.00 €,0.00 €,ARN00000019,Hecho,2023-01-19,432.94,México
C-000019,2023-01-19,2023-04-07,653.48,Crédito,Operación,Duplicación de cargos,Electrónica,Ganada,Reino Unido,Sí,Fraude amistoso,653.48 €,Comercio_839,PRE-ARBITRAJE GANADO,653.48 €,0.00 €,0.00 €,ARN00000019,Hecho,2023-01-19,432.94,México
C-000020,2023-01-20,2023-04-12,918.15,Crédito,Operación,Producto defectuoso,Hogar y jardín,Perdida,Reino Unido,Sí,Fraude amistoso,918.15 €,Comercio_130,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,918.15 €,ARN00000020,Pendiente,Pendiente,0.0,Alemania
C-000021,2023-01-21,2023-04-19,1.5,Débito,Cambio de divisa,Producto no recibido,Salud y belleza,Ganada,México,No,Fraude amistoso,1.50 €,Comercio_1261,DEVOLUCIÓN COMERCIO,0.00 €,1.50 €,0.00 €,ARN00000021,Pendiente,Pendiente,0.0,Alemania
C-000021,2023-01-21,2023-04-04,770.86,Débito,Operación,Producto no recibido,Salud y belleza,Ganada,México,No,Fraude amistoso,770.86 €,Comercio_1261,DEVOLUCIÓN COMERCIO,0.00 €,770.86 €,0.00 €,ARN00000021,Pendiente,Pendiente,0.0,Alemania
C-000022,2023-01-22,2023-04-10,601.68,Débito,Operación,Producto no recibido,Comida y bebidas,Ganada,India,Sí,Robo de tarjeta,601.68 €,Comercio_1971,PRE-ARBITRAJE GANADO,601.68 €,0.00 €,0.00 €,ARN00000022,Pendiente,Pendiente,0.0,México
C-000023,2023-01-23,2023-04-04,614.75,Débito,Operación,Producto no recibido,Comida y bebidas,Ganada,Francia,No,Fraude de identidad,614.75 €,Comercio_169,PRE-ARBITRAJE GANADO,614.75 €,0.00 €,0.00 €,ARN00000023,Pendiente,Pendiente,0.0,Canadá
C-000023,2023-01-23,2023-03-24,1.44,Débito,Cambio de divisa,Producto no recibido,Comida y bebidas,Ganada,Francia,No,Fraude de identidad,1.44 €,Comercio_169,PRE-ARBITRAJE GANADO,1.44 €,0.00 €,0.00 €,ARN00000023,Pendiente,Pendiente,0.0,Canadá
C-000024,2023-01-24,2023-03-27,428.7,Débito,Operación,Transacción no autorizada,Electrónica,Ganada,Canadá,No,Robo de tarjeta,428.70 €,Comercio_1660,DEVOLUCIÓN COMERCIO,0.00 €,428.70 €,0.00 €,ARN00000024,Hecho,2023-01-24,428.58,Canadá
C-000025,2023-01-25,2023-04-11,422.41,Crédito,Operación,Producto no recibido,Entretenimiento,Ganada,Estados Unidos,Sí,Fraude amistoso,422.41 €,Comercio_202,PRE-ARBITRAJE GANADO,422.41 €,0.00 €,0.00 €,ARN00000025,Pendiente,Pendiente,0.0,Australia
C-000026,2023-01-26,2023-03-30,994.04,Débito,Operación,Transacción no autorizada,Hogar y jardín,Ganada,Estados Unidos,Sí,Robo de tarjeta,994.04 €,Comercio_1072,CBK GANADO,994.04 €,0.00 €,0.00 €,ARN00000026,Pendiente,Pendiente,0.0,Alemania
C-000027,2023-01-27,2023-04-16,942.98,Débito,Operación,Reembolso no procesado,Entretenimiento,Perdida,Francia,No,Phishing,942.98 €,Comercio_1466,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,942.98 €,ARN00000027,Pendiente,Pendiente,0.0,Alemania
C-000028,2023-01-28,2023-04-02,379.56,Débito,Operación,Reembolso no procesado,Hogar y jardín,Ganada,India,Sí,Uso no autorizado,379.56 €,Comercio_1744,PRE-ARBITRAJE GANADO,379.56 €,0.00 €,0.00 €,ARN00000028,Hecho,2023-01-28,402.29,Alemania
C-000028,2023-01-28,2023-04-04,1.17,Débito,Cambio de divisa,Reembolso no procesado,Hogar y jardín,Ganada,India,Sí,Uso no autorizado,1.17 €,Comercio_1744,PRE-ARBITRAJE GANADO,1.17 €,0.00 €,0.00 €,ARN00000028,Hecho,2023-01-28,402.29,Alemania
C-000029,2023-01-29,2023-04-27,296.11,Crédito,Operación,Transacción no autorizada,Electrónica,Perdida,Alemania,No,Robo de tarjeta,296.11 €,Comercio_1161,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,296.11 €,ARN00000029,Pendiente,Pendiente,0.0,Canadá
C-000030,2023-01-30,2023-04-29,953.67,Crédito,Operación,Reembolso no procesado,Ropa y accesorios,Ganada,Francia,Sí,Fraude amistoso,953.67 €,Comercio_186,DEVOLUCIÓN COMERCIO,0.00 €,953.67 €,0.00 €,ARN00000030,Hecho,2023-01-30,326.32,Australia
C-000031,2023-01-31,2023-04-08,662.1,Débito,Operación,Duplicación de cargos,Entretenimiento,Perdida,Australia,Sí,Fraude de identidad,662.10 €,Comercio_1375,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,662.10 €,ARN00000031,Pendiente,Pendiente,0.0,México
C-000032,2023-02-01,2023-05-02,298.51,Crédito,Operación,Duplicación de cargos,Ropa y accesorios,Ganada,Estados Unidos,Sí,Robo de tarjeta,298.51 €,Comercio_1137,DEVOLUCIÓN COMERCIO,0.00 €,298.51 €,0.00 €,ARN00000032,Pendiente,Pendiente,0.0,México
C-000032,2023-02-01,2023-04-07,1.25,Crédito,Cambio de divisa,Duplicación de cargos,Ropa y accesorios,Ganada,Estados Unidos,Sí,Robo de tarjeta,1.25 €,Comercio_1137,DEVOLUCIÓN COMERCIO,0.00 €,1.25 €,0.00 €,ARN00000032,Pendiente,Pendiente,0.0,México
C-000033,2023-02-02,2023-04-22,726.29,Débito,Operación,Producto defectuoso,Salud y belleza,Ganada,Australia,Sí,Phishing,726.29 €,Comercio_765,DEVOLUCIÓN COMERCIO,0.00 €,726.29 €,0.00 €,ARN00000033,Hecho,2023-02-02,216.26,Australia
C-000033,2023-02-02,2023-04-08,1.14,Débito,Cambio de divisa,Producto defectuoso,Salud y belleza,Ganada,Australia,Sí,Phishing,1.14 €,Comercio_765,DEVOLUCIÓN COMERCIO,0.00 €,1.14 €,0.00 €,ARN00000033,Hecho,2023-02-02,216.26,Australia
C-000034,2023-02-03,2023-04-27,912.98,Débito,Operación,Fraude sospechado,Entretenimiento,Ganada,México,No,Robo de tarjeta,912.98 €,Comercio_63,PRE-ARBITRAJE GANADO,912.98 €,0.00 €,0.00 €,ARN00000034,Hecho,2023-02-03,39.1,India
C-000035,2023-02-04,2023-04-19,864.93,Débito,Operación,Transacción no autorizada,Entretenimiento,Ganada,Francia,Sí,Uso no autorizado,864.93 €,Comercio_1167,CBK GANADO,864.93 €,0.00 €,0.00 €,ARN00000035,Hecho,2023-02-04,32.92,México
C-000035,2023-02-04,2023-05-04,1.34,Débito,Cambio de divisa,Transacción no autorizada,Entretenimiento,Ganada,Francia,Sí,Uso no autorizado,1.34 €,Comercio_1167,CBK GANADO,1.34 €,0.00 €,0.00 €,ARN00000035,Hecho,2023-02-04,32.92,México
C-000036,2023-02-05,2023-04-19,1.25,Crédito,Cambio de divisa,Duplicación de cargos,Hogar y jardín,Ganada,Estados Unidos,No,Fraude amistoso,1.25 €,Comercio_1627,CBK GANADO,1.25 €,0.00 €,0.00 €,ARN00000036,Hecho,2023-02-05,525.7,India
C-000036,2023-02-05,2023-05-04,362.95,Crédito,Operación,Duplicación de cargos,Hogar y jardín,Ganada,Estados Unidos,No,Fraude amistoso,362.95 €,Comercio_1627,CBK GANADO,362.95 €,0.00 €,0.00 €,ARN00000036,Hecho,2023-02-05,525.7,India
C-000037,2023-02-06,2023-05-06,1.23,Débito,Cambio de divisa,Producto defectuoso,Comida y bebidas,Ganada,Estados Unidos,No,Uso no autorizado,1.23 €,Comercio_1530,CBK GANADO,1.23 €,0.00 €,0.00 €,ARN00000037,Pendiente,Pendiente,0.0,Canadá
C-000037,2023-02-06,2023-04-11,569.39,Débito,Operación,Producto defectuoso,Comida y bebidas,Ganada,Estados Unidos,No,Uso no autorizado,569.39 €,Comercio_1530,CBK GANADO,569.39 €,0.00 €,0.00 €,ARN00000037,Pendiente,Pendiente,0.0,Canadá
C-000038,2023-02-07,2023-05-06,1.32,Crédito,Cambio de divisa,Producto no recibido,Electrónica,Ganada,Alemania,Sí,Robo de tarjeta,1.32 €,Comercio_524,PRE-ARBITRAJE GANADO,1.32 €,0.00 €,0.00 €,ARN00000038,Hecho,2023-02-07,781.68,India
C-000038,2023-02-07,2023-04-27,520.52,Crédito,Operación,Producto no recibido,Electrónica,Ganada,Alemania,Sí,Robo de tarjeta,520.52 €,Comercio_524,PRE-ARBITRAJE GANADO,520.52 €,0.00 €,0.00 €,ARN00000038,Hecho,2023-02-07,781.68,India
C-000039,2023-02-08,2023-04-23,928.13,Débito,Operación,Transacción no autorizada,Comida y bebidas,Ganada,Francia,No,Fraude de identidad,928.13 €,Comercio_1370,PRE-ARBITRAJE GANADO,928.13 €,0.00 €,0.00 €,ARN00000039,Hecho,2023-02-08,792.98,India
C-000039,2023-02-08,2023-04-24,1.35,Débito,Cambio de divisa,Transacción no autorizada,Comida y bebidas,Ganada,Francia,No,Fraude de identidad,1.35 €,Comercio_1370,PRE-ARBITRAJE GANADO,1.35 €,0.00 €,0.00 €,ARN00000039,Hecho,2023-02-08,792.98,India
C-000040,2023-02-09,2023-05-02,853.91,Crédito,Operación,Producto defectuoso,Hogar y jardín,Ganada,Reino Unido,No,Uso no autorizado,853.91 €,Comercio_523,CBK GANADO,853.91 €,0.00 €,0.00 €,ARN00000040,Pendiente,Pendiente,0.0,Estados Unidos
C-000041,2023-02-10,2023-04-15,197.49,Débito,Operación,Duplicación de cargos,Comida y bebidas,Ganada,Estados Unidos,No,Fraude amistoso,197.49 €,Comercio_1985,CBK GANADO,197.49 €,0.00 €,0.00 €,ARN00000041,Hecho,2023-02-10,307.51,Alemania
C-000042,2023-02-11,2023-04-22,814.96,Crédito,Operación,Transacción no autorizada,Entretenimiento,Ganada,Reino Unido,No,Fraude amistoso,814.96 €,Comercio_1954,DEVOLUCIÓN COMERCIO,0.00 €,814.96 €,0.00 €,ARN00000042,Pendiente,Pendiente,0.0,India
C-000043,2023-02-12,2023-04-16,1.24,Débito,Cambio de divisa,Transacción no autorizada,Entretenimiento,Ganada,Estados Unidos,Sí,Robo de tarjeta,1.24 €,Comercio_940,DEVOLUCIÓN COMERCIO,0.00 €,1.24 €,0.00 €,ARN00000043,Hecho,2023-02-12,954.84,Alemania
C-000043,2023-02-12,2023-04-19,759.04,Débito,Operación,Transacción no autorizada,Entretenimiento,Ganada,Estados Unidos,Sí,Robo de tarjeta,759.04 €,Comercio_940,DEVOLUCIÓN COMERCIO,0.00 €,759.04 €,0.00 €,ARN00000043,Hecho,2023-02-12,954.84,Alemania
C-000044,2023-02-13,2023-04-21,1.07,Débito,Cambio de divisa,Duplicación de cargos,Electrónica,Perdida,México,Sí,Robo de tarjeta,1.07 €,Comercio_1267,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,1.07 €,ARN00000044,Pendiente,Pendiente,0.0,Australia
C-000044,2023-02-13,2023-05-10,207.38,Débito,Operación,Duplicación de cargos,Electrónica,Perdida,México,Sí,Robo de tarjeta,207.38 €,Comercio_1267,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,207.38 €,ARN00000044,Pendiente,Pendiente,0.0,Australia
C-000045,2023-02-14,2023-05-14,331.22,Débito,Operación,Transacción no autorizada,Hogar y jardín,Ganada,India,Sí,Fraude amistoso,331.22 €,Comercio_1943,PRE-ARBITRAJE GANADO,331.22 €,0.00 €,0.00 €,ARN00000045,Hecho,2023-02-14,562.43,Australia
C-000046,2023-02-15,2023-05-04,1.1,Crédito,Cambio de divisa,Fraude sospechado,Salud y belleza,Ganada,Australia,No,Phishing,1.10 €,Comercio_1868,DEVOLUCIÓN COMERCIO,0.00 €,1.10 €,0.00 €,ARN00000046,Pendiente,Pendiente,0.0,Alemania
C-000046,2023-02-15,2023-04-21,451.27,Crédito,Operación,Fraude sospechado,Salud y belleza,Ganada,Australia,No,Phishing,451.27 €,Comercio_1868,DEVOLUCIÓN COMERCIO,0.00 €,451.27 €,0.00 €,ARN00000046,Pendiente,Pendiente,0.0,Alemania
C-000047,2023-02-16,2023-05-16,864.71,Débito,Operación,Producto defectuoso,Entretenimiento,Ganada,Alemania,No,Robo de tarjeta,864.71 €,Comercio_657,CBK GANADO,864.71 €,0.00 €,0.00 €,ARN00000047,Hecho,2023-02-16,75.34,Estados Unidos
C-000048,2023-02-17,2023-05-17,676.17,Débito,Operación,Producto no recibido,Salud y belleza,Ganada,India,No,Uso no autorizado,676.17 €,Comercio_1455,DEVOLUCIÓN COMERCIO,0.00 €,676.17 €,0.00 €,ARN00000048,Pendiente,Pendiente,0.0,Alemania
C-000049,2023-02-18,2023-05-05,240.86,Débito,Operación,Fraude sospechado,Salud y belleza,Perdida,Australia,Sí,Fraude de identidad,240.86 €,Comercio_1735,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,240.86 €,ARN00000049,Pendiente,Pendiente,0.0,India
C-000050,2023-02-19,2023-04-23,702.77,Crédito,Operación,Producto no recibido,Entretenimiento,Perdida,Reino Unido,Sí,Fraude amistoso,702.77 €,Comercio_843,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,702.77 €,ARN00000050,Pendiente,Pendiente,0.0,Canadá
C-000050,2023-02-19,2023-04-25,1.07,Crédito,Cambio de divisa,Producto no recibido,Entretenimiento,Perdida,Reino Unido,Sí,Fraude amistoso,1.07 €,Comercio_843,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,1.07 €,ARN00000050,Pendiente,Pendiente,0.0,Canadá
C-000051,2023-02-20,2023-05-14,841.36,Crédito,Operación,Duplicación de cargos,Hogar y jardín,Ganada,India,No,Fraude de identidad,841.36 €,Comercio_288,PRE-ARBITRAJE GANADO,841.36 €,0.00 €,0.00 €,ARN00000051,Hecho,2023-02-20,852.03,México
C-000052,2023-02-21,2023-05-17,140.52,Crédito,Operación,Reembolso no procesado,Comida y bebidas,Ganada,México,No,Phishing,140.52 €,Comercio_569,PRE-ARBITRAJE GANADO,140.52 €,0.00 €,0.00 €,ARN00000052,Hecho,2023-02-21,532.58,Alemania
C-000053,2023-02-22,2023-05-06,965.65,Crédito,Operación,Transacción no autorizada,Salud y belleza,Perdida,India,Sí,Robo de tarjeta,965.65 €,Comercio_1777,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,965.65 €,ARN00000053,Hecho,2023-02-22,247.56,Alemania
C-000054,2023-02-23,2023-05-07,910.76,Débito,Operación,Reembolso no procesado,Salud y belleza,Ganada,Francia,No,Uso no autorizado,910.76 €,Comercio_1944,DEVOLUCIÓN COMERCIO,0.00 €,910.76 €,0.00 €,ARN00000054,Hecho,2023-02-23,676.33,Alemania
C-000055,2023-02-24,2023-05-09,327.62,Débito,Operación,Fraude sospechado,Comida y bebidas,Perdida,Estados Unidos,No,Robo de tarjeta,327.62 €,Comercio_786,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,327.62 €,ARN00000055,Pendiente,Pendiente,0.0,India
C-000055,2023-02-24,2023-05-23,1.13,Débito,Cambio de divisa,Fraude sospechado,Comida y bebidas,Perdida,Estados Unidos,No,Robo de tarjeta,1.13 €,Comercio_786,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,1.13 €,ARN00000055,Pendiente,Pendiente,0.0,India
C-000056,2023-02-25,2023-05-08,744.03,Débito,Operación,Reembolso no procesado,Entretenimiento,Ganada,Francia,No,Phishing,744.03 €,Comercio_95,DEVOLUCIÓN COMERCIO,0.00 €,744.03 €,0.00 €,ARN00000056,Hecho,2023-02-25,855.31,Canadá
C-000057,2023-02-26,2023-05-03,1.15,Débito,Cambio de divisa,Reembolso no procesado,Ropa y accesorios,Perdida,México,No,Fraude amistoso,1.15 €,Comercio_1130,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,1.15 €,ARN00000057,Pendiente,Pendiente,0.0,Canadá
C-000057,2023-02-26,2023-05-23,690.26,Débito,Operación,Reembolso no procesado,Ropa y accesorios,Perdida,México,No,Fraude amistoso,690.26 €,Comercio_1130,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,690.26 €,ARN00000057,Pendiente,Pendiente,0.0,Canadá
C-000058,2023-02-27,2023-05-27,490.68,Débito,Operación,Reembolso no procesado,Entretenimiento,Ganada,México,Sí,Uso no autorizado,490.68 €,Comercio_201,PRE-ARBITRAJE GANADO,490.68 €,0.00 €,0.00 €,ARN00000058,Hecho,2023-02-27,406.4,Estados Unidos
C-000059,2023-02-28,2023-05-20,522.49,Crédito,Operación,Producto defectuoso,Salud y belleza,Ganada,México,Sí,Fraude amistoso,522.49 €,Comercio_1152,CBK GANADO,522.49 €,0.00 €,0.00 €,ARN00000059,Hecho,2023-02-28,26.23,Canadá
C-000059,2023-02-28,2023-05-11,1.39,Crédito,Cambio de divisa,Producto defectuoso,Salud y belleza,Ganada,México,Sí,Fraude amistoso,1.39 €,Comercio_1152,CBK GANADO,1.39 €,0.00 €,0.00 €,ARN00000059,Hecho,2023-02-28,26.23,Canadá
C-000060,2023-03-01,2023-05-22,565.28,Débito,Operación,Reembolso no procesado,Electrónica,Ganada,Estados Unidos,No,Fraude de identidad,565.28 €,Comercio_1316,PRE-ARBITRAJE GANADO,565.28 €,0.00 €,0.00 €,ARN00000060,Hecho,2023-03-01,4.52,Australia
C-000060,2023-03-01,2023-05-28,0.9,Débito,Cambio de divisa,Reembolso no procesado,Electrónica,Ganada,Estados Unidos,No,Fraude de identidad,0.90 €,Comercio_1316,PRE-ARBITRAJE GANADO,0.90 €,0.00 €,0.00 €,ARN00000060,Hecho,2023-03-01,4.52,Australia
C-000061,2023-03-02,2023-05-02,1.31,Débito,Cambio de divisa,Transacción no autorizada,Comida y bebidas,Perdida,India,No,Fraude amistoso,1.31 €,Comercio_1720,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,1.31 €,ARN00000061,Hecho,2023-03-02,583.29,México
C-000061,2023-03-02,2023-05-05,553.58,Débito,Operación,Transacción no autorizada,Comida y bebidas,Perdida,India,No,Fraude amistoso,553.58 €,Comercio_1720,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,553.58 €,ARN00000061,Hecho,2023-03-02,583.29,México
C-000062,2023-03-03,2023-05-05,243.16,Débito,Operación,Fraude sospechado,Ropa y accesorios,Perdida,Australia,Sí,Phishing,243.16 €,Comercio_342,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,243.16 €,ARN00000062,Pendiente,Pendiente,0.0,Alemania
C-000063,2023-03-04,2023-05-31,812.11,Crédito,Operación,Producto no recibido,Hogar y jardín,Perdida,Francia,No,Phishing,812.11 €,Comercio_1826,PRE-ARBITRAJE NO CONTINUADO,0.00 €,0.00 €,812.11 €,ARN00000063,Pendiente,Pendiente,0.0,Australia
C-000064,2023-03-05,2023-05-31,598.01,Crédito,Operación,Producto defectuoso,Entretenimiento,Ganada,Australia,Sí,Uso no autorizado,598.01 €,Comercio_111,PRE-ARBITRAJE GANADO,598.01 €,0.00 €,0.00 €,ARN00000064,Pendiente,Pendiente,0.0,Canadá
C-000064,2023-03-05,2023-05-08,0.88,Crédito,Cambio de divisa,Producto defectuoso,Entretenimiento,Ganada,Australia,Sí,Uso no autorizado,0.88 €,Comercio_111,PRE-ARBITRAJE GANADO,0.88 €,0.00 €,0.00 €,ARN00000064,Pendiente,Pendiente,0.0,Canadá
C-000065,2023-03-06,2023-05-18,485.18,Débito,Operación,Producto no recibido,Hogar y jardín,Ganada,Canadá,No,Uso no autorizado,485.18 €,Comercio_1462,CBK GANADO,485.18 €,0.00 €,0.00 €,ARN00000065,Hecho,2023-03-06,399.79,Australia
C-000066,2023-03-07,2023-05-28,61.15,Crédito,Operación,Producto no recibido,Salud y belleza,Ganada,Australia,Sí,Robo de tarjeta,61.15 €,Comercio_704,DEVOLUCIÓN COMERCIO,0.00 €,61.15 €,0.00 €,ARN00000066,Hecho,2023-03-07,397.52,Alemania
